archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
nudging_25_obs_5_freq_70_var_t.pkl,nudging,5,70,t,0.07155044642377437,0.04037855691873725,0.2637284576213507,0.12521915365462077,0.0008797645568847656
nudging_25_obs_10_freq_70_var_t.pkl,nudging,10,70,t,0.07036211382526183,0.04037855691873725,0.2637284576213507,0.12482304278844993,0.0009336471557617188
kf_25_obs_10_freq_300_var_t.pkl,kf,10,300,t,0.08481772977888688,0.04037855691873725,0.2637284576213507,0.1296415814396583,0.009481191635131836
enkf_25_obs_5_freq_150_var_pt.pkl,enkf,5,150,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.023934364318847656
nudging_25_obs_10_freq_300_var_ps.pkl,nudging,10,300,ps,0.08785604250989158,0.0412746709133706,0.26373496608036795,0.13095522650121005,0.005243539810180664
enkf_25_obs_20_freq_70_var_p.pkl,enkf,20,70,p,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.015492439270019531
kf_25_obs_20_freq_300_var_pt.pkl,kf,20,300,pt,0.0827098569242067,0.040381057414772,0.26372835606180395,0.1289397568002609,0.0871725082397461
kf_25_obs_20_freq_300_var_t.pkl,kf,20,300,t,0.08271154571155148,0.04037855691873725,0.2637284576213507,0.12893952008387982,0.06486296653747559
4dvar_25_obs_5_freq_70_var_t.pkl,4dvar,5,70,t,0.06791649929528272,0.04037855691873725,0.2637284576213507,0.12400783794512356,22.281954050064087
enkf_25_obs_10_freq_150_var_p.pkl,enkf,10,150,p,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.01819014549255371
kf_25_obs_10_freq_150_var_ps.pkl,kf,10,150,ps,0.08803741072032731,0.04037905632734782,0.2637284568983163,0.1307149746486638,0.0233304500579834
kf_25_obs_10_freq_300_var_st.pkl,kf,10,300,st,0.08481772977888688,0.04037855691873725,0.2637284576370037,0.12964158144487595,0.017747879028320312
nudging_25_obs_20_freq_70_var_s.pkl,nudging,20,70,s,0.08803777548099485,0.04037855691873725,0.26372847107850744,0.13071493449274652,0.0011129379272460938
