archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_vel,rmse_total,tiempo
enkf_25_obs_5_freq_300_var_s.pkl,enkf,5,300,s,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.015035629272460938
nudging_25_obs_20_freq_70_var_pt.pkl,nudging,20,70,pt,0.1161329149741979,0.04216426205468801,0.12299937794586681,0.13326726464241473,0.07205830804286009,0.23583405939579596,0.12928265359263716,0.0019681453704833984
enkf_25_obs_5_freq_300_var_pt.pkl,enkf,5,300,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.036554574966430664
nudging_25_obs_5_freq_300_var_s.pkl,nudging,5,300,s,0.09731488045619946,0.04160905355853481,0.12299693581523585,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12459635872011184,0.0025107860565185547
kf_25_obs_20_freq_150_var_p.pkl,kf,20,150,p,0.09642992619458596,0.047329335595659924,0.12331020014232032,0.1298900263611485,0.5042310037955563,0.28947226357938555,0.13913543137798795,0.07528018951416016
4dvar_25_obs_5_freq_150_var_s.pkl,4dvar,5,150,s,0.11006986386216652,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1277851051108856,27.2866153717041
4dvar_25_obs_20_freq_150_var_s.pkl,4dvar,20,150,s,0.11557953923354099,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1291625239537292,29.821792125701904
enkf_25_obs_20_freq_300_var_pst.pkl,enkf,20,300,pst,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.4236273765563965
kf_25_obs_20_freq_300_var_st.pkl,kf,20,300,st,0.11197534700422294,0.04160905355853481,0.12299676863120786,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1282614335611107,0.06742739677429199
kf_25_obs_20_freq_150_var_t.pkl,kf,20,150,t,0.11045245591099863,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1278807531230936,0.02631211280822754
enkf_25_obs_10_freq_300_var_p.pkl,enkf,10,300,p,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.039746999740600586
kf_25_obs_10_freq_300_var_pt.pkl,kf,10,300,pt,0.11028496852087225,0.04609703394571477,0.12296994431903581,0.12764074493095007,0.5408978358048983,0.3312908384441963,0.15266069630745477,0.030137062072753906
enkf_25_obs_20_freq_300_var_s.pkl,enkf,20,300,s,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.047158241271972656
4dvar_25_obs_5_freq_300_var_st.pkl,4dvar,5,300,st,0.1102082123614684,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12781969223571105,32.199045181274414
4dvar_25_obs_20_freq_70_var_s.pkl,4dvar,20,70,s,0.11283216875922955,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12847568133515136,30.128001928329468
4dvar_25_obs_10_freq_150_var_t.pkl,4dvar,10,150,t,0.12061688280039064,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13042185984544163,28.93494939804077
kf_25_obs_5_freq_70_var_pt.pkl,kf,5,70,pt,0.10653996088034647,0.04234224700468189,0.12297516643366775,0.13242110946213168,0.4105013332421838,0.22890006799736043,0.12518936057901414,0.0030040740966796875
4dvar_25_obs_20_freq_150_var_t.pkl,4dvar,20,150,t,0.11557953923354099,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1291625239537292,27.89652395248413
nudging_25_obs_10_freq_150_var_pt.pkl,nudging,10,150,pt,0.11974548129642243,0.04208676551468454,0.12297396898069467,0.13317249024868497,0.11801654999237683,0.2358022036456102,0.13015210485935297,0.0030667781829833984
nudging_25_obs_5_freq_300_var_t.pkl,nudging,5,300,t,0.11188842721490187,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12823974594906942,0.0041468143463134766
nudging_25_obs_20_freq_150_var_pst.pkl,nudging,20,150,pst,0.11807287154177495,0.04272944820544756,0.1230068761929335,0.13273932513399914,0.18590769890954967,0.23502598898319754,0.1297087962308384,0.02436971664428711
4dvar_25_obs_5_freq_150_var_t.pkl,4dvar,5,150,t,0.11006986386216652,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1277851051108856,29.0882351398468
enkf_25_obs_5_freq_300_var_t.pkl,enkf,5,300,t,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.01874852180480957
enkf_25_obs_10_freq_300_var_s.pkl,enkf,10,300,s,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.024276018142700195
enkf_25_obs_20_freq_300_var_p.pkl,enkf,20,300,p,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.06321883201599121
nudging_25_obs_20_freq_150_var_st.pkl,nudging,20,150,st,0.11821944411471208,0.04160905355853481,0.12299692933422278,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12982249801448673,0.0034530162811279297
nudging_25_obs_20_freq_70_var_pst.pkl,nudging,20,70,pst,0.1161329149741979,0.04216426205468801,0.12299936504265832,0.13326726464241473,0.07205830804286009,0.23583405939579596,0.12928265036683503,0.012683868408203125
4dvar_25_obs_20_freq_70_var_p.pkl,4dvar,20,70,p,0.11283216875922955,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12847568133515136,27.20870280265808
kf_25_obs_5_freq_300_var_st.pkl,kf,5,300,st,0.10630049233498394,0.04160905355853481,0.12299691712325182,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12684275701681197,0.01381826400756836
