archivo,metodo,res,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_total_normalizado,tiempo
nudging_25_obs_20_freq_300_var_p.pkl,nudging,25,20,300,p,0.09031857990589084,520.0423292775818,2.7275658363960082,0.5584157125740831,0.07616549134650251,278.0421928833051,0.004197597503662109
nudging_25_obs_10_freq_300_var_s.pkl,nudging,25,10,300,s,0.09039612290839541,522.1458244278508,2.7239357412142224,0.563941853357432,0.06406634283392976,278.6322893746131,0.003205537796020508
kf_25_obs_5_freq_300_var_t.pkl,kf,25,5,300,t,0.09045125505046721,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6324423366615,0.010650396347045898
4dvar_25_obs_10_freq_70_var_st.pkl,4dvar,25,10,70,st,0.0896625254808467,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63025415649986,27.304226398468018
enkf_25_obs_20_freq_150_var_st.pkl,enkf,25,20,150,st,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.041968584060668945
enkf_25_obs_20_freq_70_var_pst.pkl,enkf,25,20,70,pst,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.034699201583862305
4dvar_25_obs_20_freq_70_var_st.pkl,4dvar,25,20,70,st,0.08896248339416986,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6283120228898,30.019251346588135
nudging_25_obs_5_freq_70_var_pt.pkl,nudging,25,5,70,pt,0.09024706169340826,522.0950197885602,2.7241830445206645,0.5634711473497294,0.06396575261111634,278.6216844943227,0.0012133121490478516
4dvar_25_obs_5_freq_70_var_st.pkl,4dvar,25,5,70,st,0.09020151310253094,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.631749475132,28.04597759246826
4dvar_25_obs_20_freq_300_var_pt.pkl,4dvar,25,20,300,pt,0.08922016090531798,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.62902690013004,28.799072742462158
enkf_25_obs_5_freq_70_var_pt.pkl,enkf,25,5,70,pt,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.007922649383544922
nudging_25_obs_20_freq_300_var_s.pkl,nudging,25,20,300,s,0.09039612290839541,522.1458244278508,2.7239357439444127,0.563941853357432,0.06406634283392976,278.6322894670001,0.003919124603271484
nudging_25_obs_10_freq_300_var_pst.pkl,nudging,25,10,300,pst,0.08973467065513566,521.3632690449925,2.72579511546565,0.5603457849315916,0.06685817915013034,278.4223406244183,0.0073430538177490234
kf_25_obs_20_freq_150_var_pst.pkl,kf,25,20,150,pst,0.08849772964544332,515.7811431776915,2.738935595395363,0.5528424941855634,0.13226368567967867,277.07868379119066,0.06152510643005371
nudging_25_obs_10_freq_300_var_p.pkl,nudging,25,10,300,p,0.09037229153794492,521.3632690449925,2.7257951157139293,0.5603457849315916,0.06685817915013034,278.4241095906733,0.0032978057861328125
4dvar_25_obs_10_freq_150_var_pst.pkl,4dvar,25,10,150,pst,0.08967425093493903,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63028668654187,29.3373920917511
4dvar_25_obs_10_freq_300_var_st.pkl,4dvar,25,10,300,st,0.08974100419508754,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63047188076456,27.314989805221558
kf_25_obs_5_freq_300_var_pst.pkl,kf,25,5,300,pst,0.09026462049404932,520.6672713338289,2.7331932106313643,0.5529964968068385,0.0881823106815711,278.490446132539,0.016695022583007812
kf_25_obs_10_freq_70_var_st.pkl,kf,25,10,70,st,0.08953168351173335,522.1458244278508,2.7239357479144544,0.563941853357432,0.06406634283392976,278.6298913786669,0.004523277282714844
nudging_25_obs_10_freq_70_var_pst.pkl,nudging,25,10,70,pst,0.08979146449356316,521.9480164873818,2.7243808750148166,0.5629856437014646,0.06401503808083878,278.5747853037958,0.002278566360473633
nudging_25_obs_10_freq_150_var_st.pkl,nudging,25,10,150,st,0.08977309334722607,522.1458244278508,2.723935741112709,0.563941853357432,0.06406634283392976,278.63056089417097,0.0026535987854003906
4dvar_25_obs_5_freq_300_var_t.pkl,4dvar,25,5,300,t,0.09037274934222213,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6322245375071,28.749702215194702
nudging_25_obs_5_freq_150_var_t.pkl,nudging,25,5,150,t,0.09028676909827486,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63198600167505,0.0018222332000732422
4dvar_25_obs_20_freq_300_var_t.pkl,4dvar,25,20,300,t,0.08922016090531798,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.62902690013004,28.487279176712036
enkf_25_obs_10_freq_150_var_s.pkl,enkf,25,10,150,s,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.014593124389648438
enkf_25_obs_5_freq_150_var_t.pkl,enkf,25,5,150,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.010042190551757812
nudging_25_obs_20_freq_150_var_pt.pkl,nudging,25,20,150,pt,0.0891941926179535,520.9796398370601,2.7257997276385324,0.5606644548089018,0.0676874151932129,278.287184054195,0.0038416385650634766
nudging_25_obs_20_freq_70_var_p.pkl,nudging,25,20,70,p,0.09039288773405006,521.5710115583853,2.724806578830427,0.5622558192760172,0.06466804443362524,278.4584813164507,0.0010821819305419922
enkf_25_obs_10_freq_70_var_t.pkl,enkf,25,10,70,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.00814366340637207
kf_25_obs_5_freq_300_var_pt.pkl,kf,25,5,300,pt,0.09026462049404932,520.6672713338289,2.7331932029866537,0.5529964968068385,0.0881823106815711,278.4904458738494,0.009790182113647461
enkf_25_obs_20_freq_150_var_p.pkl,enkf,25,20,150,p,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.030681848526000977
nudging_25_obs_5_freq_70_var_t.pkl,nudging,25,5,70,t,0.09025070179780446,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63188593981056,0.0009737014770507812
nudging_25_obs_10_freq_70_var_t.pkl,nudging,25,10,70,t,0.08978870710470442,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63060422341346,0.0010263919830322266
kf_25_obs_10_freq_300_var_t.pkl,kf,25,10,300,t,0.08967149400758771,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6302790379713,0.010755062103271484
enkf_25_obs_5_freq_150_var_pt.pkl,enkf,25,5,150,pt,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.018883943557739258
enkf_25_obs_20_freq_70_var_p.pkl,enkf,25,20,70,p,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.015133857727050781
kf_25_obs_20_freq_300_var_pt.pkl,kf,25,20,300,pt,0.08888194442300552,514.14249321591,2.7449008285676055,0.5529539151279299,0.15305490028603053,276.76343674986595,0.08777642250061035
kf_25_obs_20_freq_300_var_t.pkl,kf,25,20,300,t,0.0892354924237745,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6290694345117,0.118560791015625
4dvar_25_obs_5_freq_70_var_t.pkl,4dvar,25,5,70,t,0.09020151310253094,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.631749475132,26.415424585342407
enkf_25_obs_10_freq_150_var_p.pkl,enkf,25,10,150,p,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.019838571548461914
kf_25_obs_10_freq_300_var_st.pkl,kf,25,10,300,st,0.08967149400758771,522.1458244278508,2.7239357523199352,0.563941853357432,0.06406634283392976,278.6302794053706,0.015588998794555664
nudging_25_obs_20_freq_70_var_s.pkl,nudging,25,20,70,s,0.09039612290839541,522.1458244278508,2.723935741448631,0.563941853357432,0.06406634283392976,278.63228938254525,0.0010645389556884766
enkf_25_obs_5_freq_150_var_pst.pkl,enkf,25,5,150,pst,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.024868249893188477
4dvar_25_obs_5_freq_300_var_pt.pkl,4dvar,25,5,300,pt,0.09037274934222213,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6322245375071,27.14496159553528
4dvar_25_obs_5_freq_300_var_pst.pkl,4dvar,25,5,300,pst,0.09037274934222213,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6322245375071,29.325016260147095
enkf_25_obs_20_freq_150_var_s.pkl,enkf,25,20,150,s,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.021590471267700195
4dvar_25_obs_10_freq_300_var_t.pkl,4dvar,25,10,300,t,0.08974100419508754,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63047188076456,28.16661548614502
kf_25_obs_5_freq_70_var_st.pkl,kf,25,5,70,st,0.09014748053159913,522.1458244278508,2.7239357476141492,0.563941853357432,0.06406634283392976,278.6315997802018,0.003907918930053711
enkf_25_obs_20_freq_70_var_s.pkl,enkf,25,20,70,s,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.01047062873840332
enkf_25_obs_5_freq_300_var_pst.pkl,enkf,25,5,300,pst,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.04839301109313965
4dvar_25_obs_10_freq_300_var_p.pkl,4dvar,25,10,300,p,0.08974100419508754,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63047188076456,28.34795117378235
nudging_25_obs_10_freq_300_var_pt.pkl,nudging,25,10,300,pt,0.08973467065513566,521.3632690449925,2.7257951157139293,0.5603457849315916,0.06685817915013034,278.42234063281984,0.004951953887939453
nudging_25_obs_5_freq_70_var_s.pkl,nudging,25,5,70,s,0.09039612290839541,522.1458244278508,2.7239357416600347,0.563941853357432,0.06406634283392976,278.63228938969894,0.0008540153503417969
4dvar_25_obs_5_freq_150_var_pst.pkl,4dvar,25,5,150,pst,0.0902573645832541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63190442444136,28.70330286026001
nudging_25_obs_10_freq_70_var_s.pkl,nudging,25,10,70,s,0.09039612290839541,522.1458244278508,2.723935741704237,0.563941853357432,0.06406634283392976,278.6322893911947,0.0009129047393798828
kf_25_obs_10_freq_300_var_s.pkl,kf,25,10,300,s,0.09039612290839541,522.1458244278508,2.7239357523199352,0.563941853357432,0.06406634283392976,278.63228975041955,0.009277582168579102
enkf_25_obs_10_freq_70_var_s.pkl,enkf,25,10,70,s,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.006547689437866211
enkf_25_obs_5_freq_150_var_s.pkl,enkf,25,5,150,s,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.010912895202636719
nudging_25_obs_20_freq_300_var_st.pkl,nudging,25,20,300,st,0.08920124210532654,522.1458244278508,2.7239357439444127,0.563941853357432,0.06406634283392976,278.6289744974978,0.006596088409423828
enkf_25_obs_10_freq_150_var_t.pkl,enkf,25,10,150,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.014905691146850586
kf_25_obs_5_freq_70_var_pst.pkl,kf,25,5,70,pst,0.09007349071041464,521.6497117084957,2.7265832207091822,0.5596871930294095,0.06694612412506058,278.5519212467066,0.004985809326171875
nudging_25_obs_20_freq_70_var_st.pkl,nudging,25,20,70,st,0.08919644168424475,522.1458244278508,2.723935741448631,0.563941853357432,0.06406634283392976,278.62896109518783,0.0019288063049316406
kf_25_obs_5_freq_150_var_st.pkl,kf,25,5,150,st,0.0902473561367641,522.1458244278508,2.723935747358678,0.563941853357432,0.06406634283392976,278.6318768574255,0.007166147232055664
4dvar_25_obs_20_freq_300_var_s.pkl,4dvar,25,20,300,s,0.08922016090531798,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.62902690013004,27.207104921340942
enkf_25_obs_5_freq_300_var_st.pkl,enkf,25,5,300,st,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.029477834701538086
4dvar_25_obs_5_freq_300_var_s.pkl,4dvar,25,5,300,s,0.09037274934222213,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6322245375071,29.2228581905365
kf_25_obs_20_freq_300_var_p.pkl,kf,25,20,300,p,0.08994431256544128,514.14249321591,2.7449008285676055,0.5529539151279299,0.15305490028603053,276.76638408819736,0.04149150848388672
nudging_25_obs_5_freq_150_var_s.pkl,nudging,25,5,150,s,0.09039612290839541,522.1458244278508,2.723935741562722,0.563941853357432,0.06406634283392976,278.632289386406,0.0018231868743896484
4dvar_25_obs_5_freq_70_var_p.pkl,4dvar,25,5,70,p,0.09020151310253094,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.631749475132,28.43411660194397
kf_25_obs_20_freq_70_var_pst.pkl,kf,25,20,70,pst,0.08864734382950934,517.9488800769394,2.732379576550894,0.554556378651274,0.10280082026048319,277.53727289816686,0.08824872970581055
