archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
4dvar_25x25_obs_20_freq_300_var_t.pkl,4dvar,20,300,t,0.1107262101426383,0.0403785569187372,0.2637284576213507,0.1382777415609087,28.72531676292419
kf_25x25_obs_5_freq_300_var_st.pkl,kf,5,300,st,0.0880380175894598,0.0403785569187372,0.2637284577189496,0.1307150107423822,0.0106136798858642
4dvar_25x25_obs_20_freq_300_var_p.pkl,4dvar,20,300,p,0.1107262101426383,0.0403785569187372,0.2637284576213507,0.1382777415609087,28.82273006439209
nudging_25x25_obs_5_freq_300_var_pt.pkl,nudging,5,300,pt,0.0920974914581346,0.0407033560041866,0.2637288108902836,0.1321765527842016,0.0041627883911132
4dvar_25x25_obs_5_freq_150_var_st.pkl,4dvar,5,150,st,0.0997164232450402,0.0403785569187372,0.2637284576213507,0.1346078125950427,28.976542711257935
kf_25x25_obs_10_freq_150_var_p.pkl,kf,10,150,p,0.0880374085223339,0.0403790582861734,0.2637284568093516,0.1307149745392863,0.0057034492492675
nudging_25x25_obs_10_freq_300_var_t.pkl,nudging,10,300,t,0.095619862151751,0.0403785569187372,0.2637284576213507,0.1332422922306129,0.0031332969665527
4dvar_25x25_obs_5_freq_70_var_pst.pkl,4dvar,5,70,pst,0.1089722039213204,0.0403785569187372,0.2637284576213507,0.1376930728204694,30.337074995040897
kf_25x25_obs_5_freq_70_var_pt.pkl,kf,5,70,pt,0.0880373398145245,0.0403786372272907,0.2637284570079694,0.1307148113499282,0.0034573078155517
4dvar_25x25_obs_5_freq_300_var_p.pkl,4dvar,5,300,p,0.1019575235161493,0.0403785569187372,0.2637284576213507,0.1353548460187457,28.387067079544067
kf_25x25_obs_20_freq_150_var_s.pkl,kf,20,150,s,0.0880377754809948,0.0403785569187372,0.2637284578508291,0.1307149300835204,0.0237343311309814
enkf_25x25_obs_5_freq_300_var_s.pkl,enkf,5,300,s,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0530762672424316
4dvar_25x25_obs_10_freq_300_var_s.pkl,4dvar,10,300,s,0.0910063932903412,0.0403785569187372,0.2637284576213507,0.1317044692768097,27.81089973449707
nudging_25x25_obs_5_freq_300_var_t.pkl,nudging,5,300,t,0.0920133990714861,0.0403785569187372,0.2637284576213507,0.1320401378705246,0.003087043762207
4dvar_25x25_obs_20_freq_300_var_s.pkl,4dvar,20,300,s,0.1107262101426383,0.0403785569187372,0.2637284576213507,0.1382777415609087,27.204143047332764
kf_25x25_obs_10_freq_150_var_s.pkl,kf,10,150,s,0.0880377754809948,0.0403785569187372,0.2637284577366817,0.1307149300454712,0.0175082683563232
4dvar_25x25_obs_5_freq_300_var_s.pkl,4dvar,5,300,s,0.1019575235161493,0.0403785569187372,0.2637284576213507,0.1353548460187457,29.03167486190796
nudging_25x25_obs_20_freq_150_var_pt.pkl,nudging,20,150,pt,0.0933218623888989,0.0415029611459079,0.2636911479307881,0.1328386571551983,0.003307819366455
nudging_25x25_obs_20_freq_300_var_t.pkl,nudging,20,300,t,0.0925868604697425,0.0403785569187372,0.2637284576213507,0.1322312916699435,0.0037448406219482
enkf_25x25_obs_5_freq_300_var_p.pkl,enkf,5,300,p,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0238721370697021
kf_25x25_obs_20_freq_150_var_p.pkl,kf,20,150,p,0.0880369632322553,0.0403798067552921,0.2637284067647112,0.1307150589174195,0.0512821674346923
4dvar_25x25_obs_10_freq_300_var_p.pkl,4dvar,10,300,p,0.0910063932903412,0.0403785569187372,0.2637284576213507,0.1317044692768097,27.12010145187378
nudging_25x25_obs_10_freq_150_var_st.pkl,nudging,10,150,st,0.0927440441998168,0.0403785569187372,0.2637285730902488,0.1322837247362676,0.0029222965240478
kf_25x25_obs_5_freq_150_var_pt.pkl,kf,5,150,pt,0.0880371431500762,0.0403787289745057,0.2637284563126228,0.1307147761457349,0.006204605102539
nudging_25x25_obs_10_freq_70_var_pst.pkl,nudging,10,70,pst,0.0918837193821074,0.0406072562365179,0.263728597353318,0.1320731909906477,0.0018262863159179
baseline_sin_DA,none,0,0,all,0.07124775954002262,0.48523372504131773,0.005724049764816066,0.18740184478205216,0.0
